"","ukr","en","","","NOTES – use \n for newline","max length"
"actiondesc_penetrate_walls","Daje snarjadu biljše syly pronyknennja","Gives a projectile more penetration power","","","",""
"action_sinewave","Povzučyj šljax","Slithering path","","","",""
"actiondesc_sinewave","Dozvoljaje snarjadu švydko ruxatysj povzučym šljaxom, jak zmija","Makes a projectile move rapidly in a slithering manner, like a snake","","","",""
"action_bounce","Vidskok","Bounce","","","",""
"actiondesc_bounce","Zmušuje snarjad vidskakuvaty pry zitknenni","Makes a projectile bounce on impact","","","",""
"action_homing","Samonavedennja","Homing","","","",""
"action_homing_shooter","Bumeranğ","Boomerang","","","",""
"actiondesc_homing_shooter","Nadaje snarjadu trajektoriju, ŝo vyğynajetjsja do vas","Gives a projectile a path that curves towards you","","","",""
"action_damage","Škoda +","Damage Plus","","","",""
"actiondesc_damage","Zbiljšuje škodu vid snarjadu","Increases the damage done by a projectile","","","",""
"action_critical_hit","Kryt +","Critical Plus","","","",""
"actiondesc_critical_hit","Daje šans snarjadu +15% krytyčnoğo udaru","Gives a projectile +15% chance of a critical hit","","","",""
"action_damage_friendly","Pidstupnyj porox","Cunning power","","","",""
"actiondesc_damage_friendly","Vaši snarjady zavdajutj biljše škody, ale takož možutj zaškodyty vam","Gives a projectile extra damage, but makes it capable of damaging you","","","",""
"action_damage_x2","Intensyvna potužnistj","Intense power","","","",""
"action_damage_x5","Probyvna syla","Sundering power","","","",""
"action_heavy_shot","Važkyj postril","Heavy Shot","","","",""
"actiondesc_heavy_shot","Značno zbiljšuje škodu snarjada, cinoju joğo švydkosti","Greatly increases the damage done by a projectile, at the cost of its speed","","","",""
"action_knockback","Vidštovxuvannja","Knockback","","","",""
"actiondesc_knockback","Nadaje snarjadu sylu vidkydaty protyvnyka, v jakoğo vin vlučaje","Gives a projectile the power to knock back the foes it hits","","","",""
"action_recoil","Viddača","Recoil","","","",""
"actiondesc_recoil","Pidvyŝuje viddaču pry vykorystanni zaklynanj","Increases the recoil when casting spells","","","",""
"action_recoil_damper","Ğasytelj viddači","Recoil Damper","","","",""
"actiondesc_recoil_damper","Zmenšuje viddači pry vykorystanni zaklynanj","Reduces the recoil when casting spells","","","",""
"action_speed","Pryšvydšennja","Speed Up","","","",""
"actiondesc_speed","Pidvyŝuje švydkistj snarjada","Increases the speed at which a projectile flies through the air","","","",""
"action_gore","Krovoprolyv","Draw blood","","","",""
"actiondesc_gore","Zmušuje protyvnyka prolyvaty biljše krovi pry vlučanni snarjada","Makes foes spill more blood when hit with a projectile","","","",""
"actiondesc_explosive_projectile","Robytj snarjad biljš rujnivnym dlja navkolyšnjoğo seredovyŝa","Makes a projectile more destructive to the environment","","","",""
"action_water_to_poison","Voda v otrutu","Water to poison","","","",""
"actiondesc_water_to_poison","Peretvorjuje budj-jaku vodu v radiusi diï snarjada na otrutu","Makes any water within a projectile's range turns into poison","","","",""
"action_blood_to_acid","Krov v kyslotu","Blood to acid","","","",""
"actiondesc_blood_to_acid","Peretvorjuje budj-jaku krov v radiusi diï snarjada na kyslotu","Makes any blood within a projectile's range turns into acid","","","",""
"action_lava_to_blood","Lavu v krov","Lava to blood","","","",""
"actiondesc_lava_to_blood","Peretvorjuje budj-jaku lavu v radiusi diï snarjada na krov","Makes any lava within a projectile's range turn into blood","","","",""
"action_necromancy","Nekromantija","Necromancy","","","",""
"actiondesc_necromancy","Zmušuje trupy vbytyx snarjadom istot pidnjatysja vam na dopomoğu","Makes corpses of creatures killed by a projectile rise to your aid","","","",""
"actiondesc_explosion","Potužnyj vybux","A powerful explosion","","","",""
"action_fire_blast","Vybux sirky","Explosion of brimstone","","","",""
"actiondesc_fire_blast","Voğnjanyj vybux","A fiery explosion","","","",""
"action_poison_blast","Vybux otruty","Explosion of poison","","","",""
"actiondesc_poison_blast","Alximičnyj vybux","An alchemical explosion","","","",""
"action_alcohol_blast","Vybux duxiv","Explosion of spirits","","","",""
"actiondesc_alcohol_blast","Xmiljnyj vybux","An inebriating explosion","","","",""
"action_thunder_blast","Vybux ğromu","Explosion of thunder","","","",""
"actiondesc_thunder_blast","Elektryčnyj vybux","An electric explosion","","","",""
"action_charm_field","Kolo perekonannja","Circle of persuasion","","","",""
"actiondesc_charm_field","Pole čarivnoï mağiï","A field of charming magic","","","",""
"action_berserk_field","Kolo zavzjattja","Circle of fervour","","","",""
"actiondesc_berserk_field","Pole boževiljnoï mağiï","A field of berserk magic","","","",""
"action_polymorph_field","Kolo transformuvannja","Circle of transmogrification","","","",""
"actiondesc_polymorph_field","Pole vivcepodibnoï mağiï","A field of sheep-like magic","","","",""
"action_chaos_polymorph_field","Kolo nestabiljnoğo metamorfozu","Circle of unstable metamorphosis","","","",""
"actiondesc_chaos_polymorph_field","Pole transformacijnoï mağiï","A field of transformative magic","","","",""
"action_electrocution_field","Kolo ğromu","Circle of thunder","","","",""
"actiondesc_electrocution_field","Pole elektryzujučoï mağiï","A field of electrifying magic","","","",""
"action_freeze_field","Kolo neruxomosti","Circle of stillness","","","",""
"actiondesc_freeze_field","Pole kryžanoï mağiï","A field of freezing magic","","","",""
"action_regeneration_field","Kolo žyttjevoï enerğiï","Circle of vigour","","","",""
"actiondesc_regeneration_field","Pole reğeneratyvnoï mağiï","A field of regenerative magic","","","",""
"action_teleportation_field","Kolo peremiŝennja","Circle of displacement","","","",""
"actiondesc_teleportation_field","Pole mağiï teleportaciï","A field of teleportative magic","","","",""
"action_levitation_field","Kolo plavučosti","Circle of buoyancy","","","",""
"actiondesc_levitation_field","Pole levitacijnoï mağiï","A field of levitative magic","","","",""
"action_telepathy_field","Kolo bačennja","Circle of seeing","","","",""
"actiondesc_telepathy_field","Pole jasnovydnoï mağiï","A field of clairvoyant magic","","","",""
"action_shield_field","Kolo ŝyta","Circle of shielding","","","",""
"actiondesc_shield_field","Pole zaxysnoï mağija","A field of protective magic","","","",""
"action_sea_lava","More lavy","Sea of lava","","","",""
"actiondesc_sea_lava","Stvorjuje velykyj ob'jem lavy pid zaklynatelem","Summons a large body of lava below the caster","","","",""
"action_sea_oil","More nafty","Sea of oil","","","",""
"actiondesc_sea_oil","Stvorjuje velykyj ob'jem nafty pid zaklynatelem","Summons a large body of oil below the caster","","","",""
"action_sea_water","More vody","Sea of water","","","",""
"actiondesc_sea_water","Stvorjuje velykyj ob'jem vody pid zaklynatelem","Summons a large body of water below the caster","","","",""
"action_sea_acid","More kysloty","Sea of acid","","","",""
"actiondesc_sea_acid","Stvorjuje velykyj ob'jem kysloty pid zaklynatelem","Summons a large body of acid below the caster","","","",""
"action_sea_acid_gas","More leğkozajmystoğo ğazu","Sea of flammable gas","","","",""
"actiondesc_sea_acid_gas","Stvorjuje velykyj ob'jem leğkozajmystoğo ğazu pid zaklynatelem","Summons a large body of flammable gas below the caster","","","",""
"action_sea_alcohol","More alkoğolju","Sea of alcohol","","","",""
"actiondesc_sea_alcohol","Stvorjuje velykyj ob'jem smačnoğo alkoğolju pid zaklynatelem","Summons a large body of tasty alcohol below the caster","","","",""
"action_cloud_water","Doŝova xmara","Rain cloud","","","",""
"actiondesc_cloud_water","Stvorjuje vodne poğodne javyŝe","Creates a watery weather phenomenon","","","",""
"action_cloud_blood","Kryvava xmara","Blood cloud","","","",""
"actiondesc_cloud_blood","Stvorjuje doŝ krovi","Creates a rain of blood","","","",""
"action_cloud_acid","Kyslotna xmara","Acid cloud","","","",""
"actiondesc_cloud_acid","Creates a rain of acid","Creates an rain of acid","","","",""
"action_cloud_thunder","Ğromova xmara","Thundercloud","","","",""
"actiondesc_cloud_thunder","Stvorjuje štormovu xmaru","Creates a stormy cloud","","","",""
"action_electric_charge","Elektryčnyj zarjad","Electric charge","","","",""
"actiondesc_electric_charge","Daje snarjadu elektryčnyj zarjad, ŝo vyviljnjajetjsja pry zitknenni","Gives a projectile an electric charge, that it will release on impact","","","",""
"action_matter_eater","Požyrač materiï","Matter eater","","","",""
"actiondesc_matter_eater","Zmušuje snarjad poïdaty navkolyšnje seredovyŝe pid čas poljotu","Makes a projectile eat the environment as it flies","","","",""
"action_freeze","Moroznyj zarjad","Freeze charge","","","",""
"actiondesc_freeze","Daje snarjadu moroznyj zarjad, ŝo vyviljnjajetjsja pry zitknenni","Gives a projectile a frozen charge, that it will release on impact","","","",""
"action_hitfx_burning_critical_hit","Kryt po voğnju","Critical on burning","","","",""
"actiondesc_hitfx_burning_critical_hit","Snarjad zavždy zavdaje krytyčnyj udar po voroğax u voğni","Makes a projectile always do a critical hit on burning enemies","","","",""
"action_hitfx_critical_water","Kryt po mokrym (u vodi) voroğam","Critical on wet (water) enemies","","","",""
"actiondesc_hitfx_critical_water","Daje snarjadu ğarantovanyj krytyčnyj udar po voloğym (u vodi) voroğam","Makes a projectile always do a critical hit on wet (water) enemies","","","",""
"action_hitfx_critical_oil","Kryt po voroğax v nafti","Critical on oiled enemies","","","",""
"actiondesc_hitfx_critical_oil","Snarjad zavždy zavdaje krytyčnyj udar po voroğax pokrytyx naftoju","Makes a projectile always do a critical hit on oiled enemies","","","",""
"action_hitfx_critical_blood","Kryt na vkrytyx krov'ju","Critical on bloody enemies","","","",""
"actiondesc_hitfx_critical_blood","Snarjad zavždy zavdaje krytyčnyj udar po voroğax pokrytyx krov'ju","Makes a projectile always do a critical hit on bloody enemies","","","",""
"action_hitfx_poltergeist","Poltergejst","Poltergeist","","","",""
"actiondesc_hitfx_poltergeist","Dodaje snarjadu zdatnistj ožyvljaty fizyčni ob'jekty","Gives a projectile the power to animate physical objects","","","",""
"action_fireball_ray","Metaljnyk voğnjanyx kulj","Fireball thrower","","","",""
"actiondesc_fireball_ray","Dozvoljaje snarjadu kydaty voğnjani kuli u vypadkovi naprjamky","Makes a projectile cast fireballs in random directions","","","",""
"action_hitfx_oiled_freeze","Zamorožennja nafty","Oil freeze","","","",""
"actiondesc_hitfx_oiled_freeze","Snarjad zamorožuje voroğiv pokrytyx naftoju","Makes a projectile freeze enemies drenched in oil","","","",""
"action_alcohol_shot","Alkoğoljnyj vystril","Alcohol shot","","","",""
"actiondesc_alcohol_shot","Snarjad p'janytj voroğiv, v jakyx vlučaje","Makes a projectile get the enemies it hits drunk","","","",""
"action_freeze_if_wet_shooter","Zamorožennja voloğyx","Freeze if wet","","","",""
"actiondesc_freeze_if_wet_shooter","Jakŝo zaklynatelj mokryj, snarjad zamorožuje voroğiv pry popadanni","If caster is wet, makes a projectile freeze the enemies it hits","","","",""
"action_blindness","Slipota","Blindness","","","",""
"actiondesc_blindness","Ja ne možu bačyty!","I can't see!","","","",""
"action_teleportation","Teleportacija","Teleportation","","","",""
"actiondesc_teleportation","Zaklynannja, nakladeni porjad z cym, teleportujutj voroğiv","Spells cast alongside this will teleport enemies","","","",""
"action_telepathy","Telepatija","Telepathy","","","",""
"actiondesc_telepathy","Vy vidčuvajete inšyx istot čerez stiny","Sense other beings through walls","","","",""
"action_arc_electric","Elektryčna duğa","Electric Arc","","","",""
"action_arc_fire","Voğnjana duğa","Fire Arc","","","",""
"action_arc_gunpowder","Duğa poroxu","Gunpowder Arc","","","",""
"action_arc_poison","Duğa otruty","Poison Arc","","","",""
"action_polymorph","Polimorfnyj zarjad","Polymorph charge","","","",""
"actiondesc_polymorph","Beeeee","Baaaaa","","","",""
"action_berserk","Bezumstvo","Berserk","","","",""
"actiondesc_berserk","Cilj vpadaje v stan dykoï ljuti, atakuje vsix, xto znaxodytjsja poblyzu, i otrymuje 2-x kratnyj pryrist škody","Target enters a state of wild fury, attacking anyone nearby and getting a 2x damage boost","","","",""
"action_charm","Začarovuvannja","Charm","","","",""
"actiondesc_charm","Cilj staje družnjoju do zaklynatelja","Target becomes friendly to the caster","","","",""
"action_x_ray","Vsevydjače oko","All-seeing eye","","","",""
"actiondesc_x_ray","Vy možete bačyty nedoslidžene. Ale ne vse...","See into the unexplored. But not everywhere...","","","",""
"action_x_ray_modifier","X-ray modyfikator","X-ray modifier","","","",""
"actiondesc_x_ray_modifier","Snarjad osvitljuje šljax v temrjavi","Projectile lights the way in the darkness","","","",""
"action_acid","Kyslota","Acid","","","",""
"actiondesc_acid","Snarjady peretvorjuutjsja na kyslotu pry zitknenni","Projectiles turn into acid on collision","","","",""
"action_unstable_gunpowder","Petardy","Firecrackers","","","",""
"action_acid_trail","Kyslotnyj slid","Acid trail","","","",""
"actiondesc_acid_trail","Daje snarjadu slid z kysloty","Gives a projectile a trail of acid","","","",""
"action_poison_trail","Otrujnyj slid","Poison trail","","","",""
"actiondesc_poison_trail","Daje snarjadu slid z otruty","Gives a projectile a trail of poison","","","",""
"action_oil_trail","Naftovyj slid","Oil trail","","","",""
"actiondesc_oil_trail","Daje snarjadu slid z nafty","Gives a projectile a trail of oil","","","",""
"action_water_trail","Vodjanyj slid","Water trail","","","",""
"actiondesc_water_trail","Daje snarjadu slid z vody","Gives a projectile a trail of water","","","",""
"action_blood_trail","Krov'janyj slid","Blood trail","","","",""
"actiondesc_blood_trail","Daje snarjadu slid z krovi","Gives a projectile a trail of blood","","","",""
"action_gunpowder_trail","Poroxovyj slid","Gunpowder trail","","","",""
"actiondesc_gunpowder_trail","Daje snarjadu slid z poroxu","Gives a projectile a trail of gunpowder","","","",""
"action_fire_trail","Voğnjanyj slid","Fire trail","","","",""
"actiondesc_fire_trail","Daje snarjadu slid z voğnjanyx častynok","Gives a projectile a trail of fiery particles","","","",""
"action_burn_trail","Palajučyj slid","Burning trail","","","",""
"actiondesc_burn_trail","Daje snarjadu slid z voğnju","Gives a projectile a tail of fire","","","",""
"action_torch","Smoloskyp","Torch","","","",""
"actiondesc_torch","Zapaljuj svoju palyčku!","Lights your wand right up!","","","",""
"action_torch_electric","Elektryčnyj smoloskyp","Electric Torch","","","",""
"actiondesc_torch_electric","Nadaje vašij palyčci jaskrave, ale duže nebezpečne svitlo!","Gives your wand a bright but very dangerous light!","","","",""
"action_light","Osvitlennja","Light","","","",""
"actiondesc_light","Snarjad osvitljuje prostir navkolo njoğo","Makes a projectile illuminate its surroundings","","","",""
"action_energy_shield","Enerğetyčnyj ŝyt","Energy shield","","","",""
"actiondesc_energy_shield","Vidbyvaje snarjady, ŝo vdarjajutjsja ob njoğo","Deflects incoming projectiles","","","",""
"action_energy_shield_sector","Sektor enerğetyčnoğo ŝyta","Energy shield sector","","","",""
"actiondesc_energy_shield_sector","Vidbyvaje snarjady, ŝo letjatj v vas","Deflects incoming projectiles","","","",""
"action_duplicate_on_death","Dubljuvannja","Duplicate","","","",""
"actiondesc_duplicate_on_death","Snarjad klonuje sebe na 2 pry zitknenni","Projectile clones itself x2 on collision","","","",""
"action_bee","Bee","Bee","","","",""
"actiondesc_bee","Bdžola","Bee","","","",""
"action_duck","Kačka","Duck","","","",""
"actiondesc_duck","Kačka!","Duck!","","","",""
"action_sheep","Vivcja","Sheep","","","",""
"actiondesc_sheep","Vivcja!","Sheep!","","","",""
"action_misfire","Osička","Misfire","","","",""
"actiondesc_misfire","Skydaje 1 zaklynannja","Discard 1 spell","","","",""
"action_misfire_critical","Osička (krytyčna)","Misfire (critical)","","","",""
"actiondesc_misfire_critical","Nazavždy rujnuje odne zaklynannja","Permanently destroy 1 spell","","","",""
"action_generate_random_deck_5","Zğeneruvaty vypadkovu kolodu (5)","Generate random deck (5)","","","",""
"actiondesc_generate_random_deck_5","Potočna koloda zaminjujetjsja na vypadkovu kolodu z 5 kart","Current deck is replaced with a random deck of 5 cards","","","",""
"action_testbullet","TESTOVA KULJA","DEBUG BULLET","","","",""
"actiondesc_testbullet","Slabkyj, ale čarivnyj iskrystyj snarjad","A weak but enchanting sparkling projectile","","","",""
"action_light_bullet","Iskrovyj bolt","Spark bolt","","","",""
"actiondesc_light_bullet","Slabkyj, ale čarivnyj iskrystyj snarjad","A weak but enchanting sparkling projectile","","","",""
"action_air_bullet","Potik povitrja","Burst of air","","","",""
"actiondesc_air_bullet","Syljnyj potik povitrja, ŝo zdatnyj syljno vidštovxuvaty ob'jekty ta voroğiv","A brittle burst of air capable of greatly pushing objects","","","",""
"action_light_bullet_trigger","Iskrovyj bolt z aktyvatorom","Spark bolt with trigger","","","",""
"actiondesc_light_bullet_trigger","Iskrovyj bolt, ŝo čakluje inše zaklynannja pry zitknenni","A spark bolt that casts another spell upon collision","","","",""
"action_light_bullet_trigger_2","Iskrovyj bolt z podvijnym aktyvatorom","Spark bolt with double trigger","","","",""
"actiondesc_light_bullet_trigger_2","Iskrovyj bolt, ŝo čakluje dva novyx zaklynannja pry zitknenni","A spark bolt that casts two new spells upon collision","","","",""
"action_light_bullet_timer","Iskrovyj bolt z tajmerom","Spark bolt with timer","","","",""
"actiondesc_light_bullet_timer","Iskrovyj bolt, ŝo čakluje ŝe odne zaklynannja pislja zakinčennja tajmera","A spark bolt that casts another spell after a timer runs out","","","",""
"action_bullet","Mağična strila","Magic arrow","","","",""
"actiondesc_bullet","Zručna mağična strila","A handy magical arrow","","","",""
"action_bullet_trigger","Mağična strila z aktyvatorom","Magic arrow with trigger","","","",""
"actiondesc_bullet_trigger","Mağična strila, jaka pry zitknenni čakluje ŝe odne zaklynannja","A magical arrow that casts another spell upon collision","","","",""
"action_bullet_timer","Mağična strila z tajmerom","Magic arrow with timer","","","",""
"actiondesc_bullet_timer","Mağična strila, jaka čakluje ŝe odne zaklynannja pislja zakinčennja tajmera","A magical arrow that casts another spell after a timer runs out","","","",""
"action_heavy_bullet","Mağičnyj bolt","Magic bolt","","","",""
"actiondesc_heavy_bullet","Potužnyj mağičnyj bolt","A powerful magical bolt","","","",""
"action_heavy_bullet_trigger","Mağičnyj bolt z aktyvatorom","Magic bolt with trigger","","","",""
"actiondesc_heavy_bullet_trigger","Potužnyj mağičnyj bolt, jakyj pry zitknenni čakluje ŝe odne zaklynannja","A powerful magical bolt that casts another spell upon collision","","","",""
"action_heavy_bullet_timer","Mağičnyj bolt z tajmerom","Magic bolt with timer","","","",""
"actiondesc_heavy_bullet_timer","Potužnyj mağičnyj bolt, jakyj čakluje ŝe odne zaklynannja pislja zakinčennja tajmera","A powerful magical bolt that casts another spell after a timer runs out","","","",""
"action_slow_bullet","Enerğetyčna sfera","Energy orb","","","",""
"actiondesc_slow_bullet","Poviljna, ale potužna sfera enerğiï","A slow but powerful orb of energy","","","",""
"action_slow_bullet_trigger","Enerğetyčna sfera z aktyvatorom","Energy orb with a trigger","","","",""
"actiondesc_slow_bullet_trigger","Poviljna, ale potužna sfera enerğiï, jaka čakluje inše zaklynannja pry zitknenni","A slow but powerful orb of energy that casts another spell upon collision","","","",""
"action_slow_bullet_timer","Enerğetyčna sfera z tajmerom","Energy orb with a timer","","","",""
"action_black_hole","Čorna dira","Black hole","","","",""
"actiondesc_black_hole","Poviljna sfera porožneči, ŝo poğlynaje vse, čerez ŝo proxodytj","A slow orb of void that eats through all obstacles","","","",""
"action_black_hole_big","Ğiğantsjka čorna dira","Giga black hole","","","",""
"actiondesc_black_hole_big","Sfera neğatyvnoï enerğiï, ŝo roste ta rujnuje vse, ŝo potrapljaje v ïï zonu dosjažnosti","A growing orb of negative energy that destroys everything in its reach","","","",""
"action_decoy","Prymanka","Decoy","","","",""
"actiondesc_decoy","Stvorjuje prymanku dlja vidvolikannja voroğiv","Creates a decoy for distracting enemies","","","",""
"action_decoy_trigger","Prymanka z aktyvatorom","Decoy with trigger","","","",""
"actiondesc_decoy_trigger","Stvorjuje prymanku dlja vidvolikannja voroğiv, jaka čakluje inše zaklynannja pislja zakinčennja tajmera","Creates a decoy for distracting enemies that casts another spell after a timer runs out","","","",""
"action_spitter","Slyzotvornyj snarjad","Spitter bolt","","","",""
"actiondesc_spitter","Korotkočasnyj mağičnyj snarjad","A short-lived magical bolt","","","",""
"action_spitter_timer","Slyzotvornyj snarjad z tajmerom","Spitter bolt with timer","","","",""
"actiondesc_spitter_timer","Korotkočasnyj mağičnyj snarjad, jakyj vyklykaje inše zakljattja pislja zakinčennja tajmera","A short-lived magical bolt that casts another spell after a timer runs out","","","",""
"action_bubbleshot","Buljbaškova iskra","Bubble spark","","","",""
"actiondesc_bubbleshot","Pryğuče, netočne zaklattja","A bouncy, inaccurate spell","","","",""
"action_bubbleshot_trigger","Buljbaškova iskra z aktyvatorom","Bubble spark with trigger","","","",""
"actiondesc_bubbleshot_trigger","Pryğuče, netočne zaklattja jake vyklykaje inše zakljattja pry zitknenni","A bouncy, inaccurate spell that casts another spell upon collision","","","",""
"action_disc_bullet","Sjuryken","Disc projectile","","","",""
"actiondesc_disc_bullet","Stvorjuje ğostryj sjuryken","Summons a sharp disc projectile","","","",""
"action_bouncy_orb","Enerğetyčna sfera","Energy sphere","","","",""
"actiondesc_bouncy_orb","Švydkyj, duğopodibnyj snarjad","A fast, arcing projectile","","","",""
"action_bouncy_orb_timer","Sfera enerğiï z tajmerom","Energy sphere with timer","","","",""
"action_rubber_ball","Strybučyj vybux","Bouncing burst","","","",""
"actiondesc_rubber_ball","Duže strybučyj snarjad","A very bouncy projectile","","","",""
"action_arrow","Strila","Arrow","","","",""
"actiondesc_arrow","Stvorjuje strilu","Summons an arrow","","","",""
"action_lance","Sjajučyj spys","Glowing lance","","","",""
"actiondesc_lance","Mağičnyj spys, jakyj rozrizaje m'jaki materialy","A magical lance that cuts through soft materials","","","",""
"action_rocket","Mağična raketa","Magic missile","","","",""
"actiondesc_rocket","Voğnjanyj vybuxovyj snarjad","A fiery, explosive projectile","","","",""
"action_rocket_tier_2","Velyka mağična raketa","Large magic missile","","","",""
"actiondesc_rocket_tier_2","Potužniša versija mağičnoï rakety","A more powerful version of Magic missile","","","",""
"action_rocket_tier_3","Ğiğantsjka mağična raketa","Giant magic missile","","","",""
"actiondesc_rocket_tier_3","Najpotužniše versija mağičnoï rakety","The most powerful version of Magic missile","","","",""
"action_grenade","Voğnjanyj bolt","Firebolt","","","",""
"actiondesc_grenade","Vybuxovyj bolt, ŝo vidskakuje vid poverxonj","A bouncy, explosive bolt","","","",""
"action_grenade_tier_2","Velykyj voğnjanyj bolt","Large firebolt","","","",""
"actiondesc_grenade_tier_2","Potužniša versija voğnjanoğo bolta","A more powerful version of Firebolt","","","",""
"action_grenade_tier_3","Ğiğantsjkyj voğnjanyj bolt","Giant firebolt","","","",""
"actiondesc_grenade_tier_3","Najpotužniša versija voğnjanoğo bolta","The most powerful version of Firebolt","","","",""
"action_grenade_trigger","Voğnjanyj bolt z aktyvatorom","Firebolt with trigger","","","",""
"actiondesc_grenade_trigger","Vybuxovyj bolt, ŝo vidskakuje vid poverxonj ta čakluje ŝe odne zaklynannja pry zitknenni","A bouncy, explosive bolt that that casts another spell upon collision","","","",""
"action_grenade_anti","Dyvnyj voğnjanyj snarjad","Odd Firebolt","","","",""
"actiondesc_grenade_anti","Deŝo svojeridnyj strybučyj, vybuxovyj snarjad","A somewhat peculiar bouncy, explosive bolt","","","",""
"action_grenade_large","Dropper bolt","Dropper bolt","","","",""
"actiondesc_grenade_large","Duže tjažkyj vybuxovyj snarjad","A very heavy explosive bolt","","","",""
"action_mine","Nestabiljnyj krystal","Unstable crystal","","","",""
"actiondesc_mine","Krystal, jakyj vybuxaje, koly xtosj nablyžajetjsja do njoğo","A crystal that explodes when someone comes nearby","","","",""
"action_mine_death_trigger","Nestabiljnyj krystal z aktyvatorom","Unstable crystal with trigger","","","",""
"actiondesc_mine_death_trigger","Krystal, jakyj vybuxaje i čakluje inše zaklynannja, koly xtosj nablyžajetjsja do njoğo","A crystal that explodes and casts another spell when someone comes nearby","","","",""
"action_pipe_bomb","Spljačyj krystal","Dormant crystal","","","",""
"actiondesc_pipe_bomb","Krystal, ŝo vybuxaje koly potrapljaje do vybuxu","A crystal that explodes when caught in an explosion","","","",""
"action_pipe_bomb_death_trigger","Spljačyj krystal z aktyvatorom","Dormant crystal with trigger","","","",""
"actiondesc_pipe_bomb_death_trigger","Krystal, jakyj vybuxaje i čakluje inše zakljattja, koly potrapljaje do vybuxu","A crystal that explodes and casts another spell when caught in an explosion","","","",""
"action_exploding_deer","Stvorennja olenemanky","Summon deercoy","","","",""
"actiondesc_exploding_deer","Stvorjuje, zdavalosj by, nevynnoğo olenja","Summons a seemingly-innocuous deer","","","",""
"action_pipe_bomb_detonator","Spljačyj krystal detonaciï","Dormant crystal detonation","","","",""
"actiondesc_pipe_bomb_detonator","Usi spljačy krystaly porjad vybuxajutj","All nearby dormant crystals explode","","","",""
"action_laser","Koncentrovane svitlo","Concentrated light","","","",""
"actiondesc_laser","Točnyj prominj svitla","A pinpointed beam of light","","","",""
"action_lightning","Blyskavka","Lightning bolt","","","",""
"actiondesc_lightning","Pervisna syla pryrody","The primordial force of nature","","","",""
"action_digger","Ğirnyčyj zğustok enerğiï","Digging bolt","","","",""
"actiondesc_digger","Idealjnyj dlja ğirnyčyx operacij zğustok enerğiï","A bolt that is ideal for mining operations","","","",""
"action_powerdigger","Ğirnyčyj vybux","Digging blast","","","",""
"actiondesc_powerdigger","Biljš potužne kopannja","More powerful digging","","","",""
"action_chainsaw","Benzopyla","Chainsaw","","","",""
"action_tentacle","Vyklyk ŝupalecj","Summon Tentacle","","","",""
"actiondesc_tentacle","Vyklykaje straxitlyvyj prydatok z inšoğo vymiru","Calls a terrifying appendage from another dimension","","","",""
"action_tentacle_timer","Vyklyk ŝupalecj z tajmerom","Summon Tentacle with timer","","","",""
"actiondesc_tentacle_timer","Vyklykaje straxitlyvyj prydatok z inšoğo vymiru! Postavljajetjsja z tajmerom","Calls a terrifying appendage from another dimension! Comes with a timer","","","",""
"action_heal_bullet","Ciljuŝyj bolt","Healing bolt","","","",""
"action_spiral_shot","Spiraljnyj postril","Spiral shot","","","",""
"actiondesc_spiral_shot","Mistyčnyj vyxor čarivnyx iskor","A mystical whirlwind of magic sparks","","","",""
"action_fireball","Voğnekulja","Fireball","","","",""
"actiondesc_fireball","Potužne vybuxove zaklynannja","A powerful exploding spell","","","",""
"action_meteor","Meteoryt","Meteor","","","",""
"actiondesc_meteor","Rujnivnyj snarjad z neba!","A destructive projectile from the skies!","","","",""
"action_flamethrower","Voğnemet","Flamethrower","","","",""
"actiondesc_flamethrower","Potik voğnju!!","A stream of fire!!","","","",""
"action_icethrower","Ljodomet","Icethrower","","","",""
"actiondesc_icethrower","Potil ljodu!!","A stream of ice!!","","","",""
"action_slimeball","Slyzova kulja","Slimeball","","","",""
"actiondesc_slimeball","Kulja otrujnoğo slyzu. Nepoğano kopaje m'jaki porody","A dripping ball of poisonous slime","","","",""
"action_darkflame","Šljax temnoğo polum'ja","Path of dark flame","","","",""
"actiondesc_darkflame","Doroğa temnoğo, smertonosnoğo voğnju","A trail of dark, deadly flames","","","",""
"action_missile","Stvoryty raketu","Summon missile","","","",""
"actiondesc_missile","Šanovni ğosti, doroğa rodyno povitrjana tryvoğa, projditj v ukryttja!","A missile!!!","","","",""
"action_pebble","Vyklyk pryvyda kamenja","Summon rock spirit","","","",""
"actiondesc_pebble","Vyklykaje avtonomnoğo kam'janoğo sojuznyka","Summons an autonomous rock ally","","","",""
"action_dynamite","Dynamit","Dynamite","","","",""
"actiondesc_dynamite","Stvorjuje malenjkyj dynamit","Summons a small explosive","","","",""
"action_bomb_legacy","Bomba","Bomb","","","",""
"actiondesc_bomb_legacy","Stvorjuje bombu, jaka duže efektyvno rujnuje zemlju","Summons a bomb that destroys ground very efficiently","","","",""
"action_bomb","Bomba","Bomb","","","",""
"actiondesc_bomb","Stvorjuje bombu, jaka duže efektyvno rujnuje zemlju","Summons a bomb that destroys ground very efficiently","","","",""
"action_bomb_holy","Svjaŝenna bomba","Holy Bomb","","","",""
"actiondesc_bomb_holy","Stvorjuje bombu, ŝo... nu, vy znajete...","Summons a bomb that... well...","","","",""
"action_knife","Metaljnyj niž","Throwing Knife","","","",""
"actiondesc_knife","Duže smerteljno!","Very deadly!","","","",""
